;file;cue;rt;run;group;ID
237;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;275;80;1;Rests_02
238;Rests_02_MID_Teil2_2020-06-04_09-12-06;3;286;80;1;Rests_02
239;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;248;79;1;Rests_02
241;Rests_02_MID_Teil2_2020-06-04_09-12-06;3;239;81;1;Rests_02
242;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;231;80;1;Rests_02
245;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;248;81;1;Rests_02
247;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;246;83;1;Rests_02
248;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;252;82;1;Rests_02
249;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;247;84;1;Rests_02
250;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;220;83;1;Rests_02
251;Rests_02_MID_Teil2_2020-06-04_09-12-06;3;351;84;1;Rests_02
252;Rests_02_MID_Teil2_2020-06-04_09-12-06;3;311;85;1;Rests_02
253;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;247;84;1;Rests_02
255;Rests_02_MID_Teil2_2020-06-04_09-12-06;3;241;86;1;Rests_02
257;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;177;86;1;Rests_02
258;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;262;86;1;Rests_02
259;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;315;87;1;Rests_02
260;Rests_02_MID_Teil2_2020-06-04_09-12-06;3;289;87;1;Rests_02
263;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;303;88;1;Rests_02
264;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;287;89;1;Rests_02
265;Rests_02_MID_Teil2_2020-06-04_09-12-06;3;333;89;1;Rests_02
266;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;232;88;1;Rests_02
267;Rests_02_MID_Teil2_2020-06-04_09-12-06;3;142;90;1;Rests_02
268;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;244;89;1;Rests_02
269;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;297;90;1;Rests_02
272;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;253;91;1;Rests_02
274;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;257;92;1;Rests_02
275;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;234;91;1;Rests_02
276;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;232;93;1;Rests_02
277;Rests_02_MID_Teil2_2020-06-04_09-12-06;3;326;93;1;Rests_02
278;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;270;92;1;Rests_02
279;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;247;93;1;Rests_02
281;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;238;94;1;Rests_02
282;Rests_02_MID_Teil2_2020-06-04_09-12-06;3;289;95;1;Rests_02
283;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;261;95;1;Rests_02
284;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;195;94;1;Rests_02
285;Rests_02_MID_Teil2_2020-06-04_09-12-06;3;261;96;1;Rests_02
286;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;127;95;1;Rests_02
287;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;192;96;1;Rests_02
293;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;234;97;1;Rests_02
294;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;178;99;1;Rests_02
295;Rests_02_MID_Teil2_2020-06-04_09-12-06;3;288;99;1;Rests_02
296;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;237;98;1;Rests_02
297;Rests_02_MID_Teil2_2020-06-04_09-12-06;1;281;99;1;Rests_02
298;Rests_02_MID_Teil2_2020-06-04_09-12-06;2;194;100;1;Rests_02
299;Rests_02_MID_Teil2_2020-06-04_09-12-06;3;218;100;1;Rests_02
301;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;245;1;1;Rests_03
302;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;217;1;1;Rests_03
303;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;234;1;1;Rests_03
305;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;177;2;1;Rests_03
307;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;224;3;1;Rests_03
309;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;257;3;1;Rests_03
310;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;248;4;1;Rests_03
311;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;254;4;1;Rests_03
312;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;231;4;1;Rests_03
313;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;251;5;1;Rests_03
314;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;276;5;1;Rests_03
315;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;238;5;1;Rests_03
317;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;239;6;1;Rests_03
318;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;15;6;1;Rests_03
319;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;279;7;1;Rests_03
320;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;259;7;1;Rests_03
321;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;248;7;1;Rests_03
323;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;215;8;1;Rests_03
324;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;239;8;1;Rests_03
326;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;216;9;1;Rests_03
329;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;85;10;1;Rests_03
331;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;231;11;1;Rests_03
332;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;207;11;1;Rests_03
333;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;356;11;1;Rests_03
335;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;12;12;1;Rests_03
336;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;199;12;1;Rests_03
337;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;220;13;1;Rests_03
339;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;261;13;1;Rests_03
340;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;263;14;1;Rests_03
341;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;201;14;1;Rests_03
342;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;221;14;1;Rests_03
345;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;6;15;1;Rests_03
346;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;69;16;1;Rests_03
349;Rests_03_MID_Teil2_2020-06-10_13-12-28;3;261;17;1;Rests_03
350;Rests_03_MID_Teil2_2020-06-10_13-12-28;1;549;17;1;Rests_03
351;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;257;17;1;Rests_03
352;Rests_03_MID_Teil2_2020-06-10_13-12-28;2;266;18;1;Rests_03
